Date/Time,Word Count,de,en
2019.03.24-19.58.58,0,0,0
2019.03.24-20.01.24,494,0,494
2019.03.24-20.11.53,494,494,494
2019.03.30-14.23.32,499,494,499
2019.03.30-14.26.13,499,499,499
2019.04.15-22.26.54,499,497,499
2019.04.15-22.28.59,498,497,498
2019.04.15-22.41.59,500,497,500
2019.04.15-22.42.57,500,499,500
2019.04.15-22.45.49,501,499,501
2019.04.15-22.48.18,499,497,499
2019.04.15-22.49.30,499,499,499
2019.04.16-00.01.03,500,499,500
2019.04.16-00.02.57,499,498,499
2019.04.16-00.03.33,499,496,499
2019.04.16-00.04.21,499,499,499
2019.04.16-00.06.49,499,497,499
2019.04.16-00.14.03,499,498,499
2019.04.16-00.16.57,499,497,499
2019.04.16-00.17.27,499,499,499
2021.01.12-23.26.47,679,491,679
2021.01.13-20.57.49,704,671,704
2021.01.14-18.53.35,748,671,748
2021.01.14-20.22.49,780,742,780
2021.01.14-22.03.02,749,711,749
